ID;Make;Model;Transmission;Gears;Horsepower;Torque;Fuel Type;Driveline;Year;
231;Volvo;XC60 T6 R-Design;AUTOMATIC;6;300;328.25;GASOLINE;FOUR;2011.03.23
232;Volvo;XC60 3.2 R-Design;AUTOMATIC;6;240;238.36;GASOLINE;FRONT;2011.04.24
233;Volvo;V50 R-Design AT;AUTOMATIC;5;227;238.36;GASOLINE;FOUR;2010.03.09
234;Volvo;V50 R-Design;AUTOMATIC;5;227;238.36;GASOLINE;FRONT;2011.05.17
235;Bentley;Continental GT;AUTOMATIC;6;567;521.16;E85;FOUR;2012.04.04
236;Bentley;Continental GT;AUTOMATIC;6;552;483.79;GASOLINE;FOUR;2010.07.05
237;Bentley;Continental GT Speed;AUTOMATIC;6;600;558.53;GASOLINE;FOUR;2010.12.04
238;Ford;Focus Coupe SE;MANUAL;5;140;137.36;GASOLINE;FRONT;2010.11.22
239;Ford;Focus Coupe SE AT;AUTOMATIC;4;140;137.36;GASOLINE;FRONT;2010.01.07
240;Ford;Focus Coupe SES;MANUAL;5;140;137.36;GASOLINE;FRONT;2010.08.14
241;Ford;Focus Coupe SES AT;AUTOMATIC;4;140;137.36;GASOLINE;FRONT;2010.07.13
242;Bentley;Continental GTC Speed;AUTOMATIC;6;600;558.53;GASOLINE;FOUR;2011.06.07
243;Bentley;Continental GTC Speed;AUTOMATIC;6;600;558.53;GASOLINE;FOUR;2010.01.14
244;Bentley;Continental GTC;AUTOMATIC;6;552;483.79;GASOLINE;FOUR;2010.06.24
245;Bentley;Azure T;AUTOMATIC;6;500;745.38;GASOLINE;REAR;2010.04.26
246;Toyota;Corolla;MANUAL;5;132;129.28;GASOLINE;FRONT;2011.10.06
247;Toyota;Corolla AT;AUTOMATIC;4;132;129.28;GASOLINE;FRONT;2011.10.14
248;Toyota;Corolla LE;AUTOMATIC;4;132;129.28;GASOLINE;FRONT;2011.09.08
249;Toyota;Corolla S;MANUAL;5;132;129.28;GASOLINE;FRONT;2011.01.18
250;Toyota;Corolla S AT;AUTOMATIC;4;132;129.28;GASOLINE;FRONT;2011.06.09
251;Rolls-Royce;-Royce Ghost;AUTOMATIC;8;563;580.75;GASOLINE;REAR;2010.07.15
252;Audi;A5 Cabriolet 2.0 T Quattro;AUTOMATIC;8;211;260.58;GASOLINE;FOUR;2011.12.13
253;Audi;A5 Cabriolet 2.0 T Quattro;AUTOMATIC;6;211;260.58;GASOLINE;FOUR;2010.06.25
254;Rolls-Royce;-Royce Phantom Sedan;AUTOMATIC;6;453;536.31;GASOLINE;REAR;2010.09.07
255;Rolls-Royce;-Royce Phantom Sedan EWB;AUTOMATIC;6;453;536.31;GASOLINE;REAR;2010.12.05
256;Audi;A5 Coupe 2.0 T;MANUAL;6;211;260.58;GASOLINE;FOUR;2012.05.14
257;Audi;A5 Coupe 2.0 T AT;AUTOMATIC;8;211;260.58;GASOLINE;FOUR;2012.04.27
258;Rolls-Royce;-Royce Phantom Coupe;AUTOMATIC;6;453;536.31;GASOLINE;REAR;2010.08.02
259;Audi;A5 Coupe 2.0 T AT;AUTOMATIC;8;211;260.58;GASOLINE;FOUR;2011.01.16
260;Audi;A5 Coupe 2.0 T;MANUAL;6;211;260.58;GASOLINE;FOUR;2011.05.10
261;Audi;A5 Coupe 2.0 T;MANUAL;6;211;260.58;GASOLINE;FOUR;2010.12.24
262;Audi;A5 Coupe 3.2;AUTOMATIC;6;265;245.43;GASOLINE;FOUR;2010.10.21
263;Audi;A5 Coupe 2.0 T AT;AUTOMATIC;6;211;260.58;GASOLINE;FOUR;2010.06.05
